epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,25.2415,1.7175,3.53413,1.10102,0.072,0.8017,0.10764,0.07104,0.97094,3.41678,0.87043,8e-05,8e-05,8e-05
2,48.4803,1.19123,2.92405,0.93488,0.08543,0.95122,0.24538,0.15851,1.20884,3.14624,0.88654,0.000176436,0.000176436,0.000176436
3,72.3744,1.17589,1.77142,0.8776,0.08467,0.94274,0.85584,0.52792,1.20541,2.81473,0.88534,0.000268912,0.000268912,0.000268912
4,96.7725,1.15087,1.02891,0.87774,0.89454,0.91941,0.93442,0.58575,1.12341,2.44416,0.87697,0.000357428,0.000357428,0.000357428
5,119.939,1.06878,0.84391,0.87707,0.99098,0.69887,0.92593,0.6518,1.04553,2.01251,0.85845,0.000441984,0.000441984,0.000441984
6,143.964,1.06247,0.79728,0.8707,0.9619,0.72288,0.92307,0.6475,1.04489,1.77694,0.86104,0.00052258,0.00052258,0.00052258
7,167.536,1.03936,0.73944,0.88079,0.97192,0.88085,0.93607,0.69847,1.08155,1.43818,0.86802,0.000599216,0.000599216,0.000599216
8,191.242,1.05508,0.70736,0.8859,0.97892,0.9088,0.93748,0.7253,0.94415,1.25435,0.85173,0.000671892,0.000671892,0.000671892
9,216.007,0.94371,0.65877,0.85906,0.97674,0.91092,0.9368,0.74296,0.94432,1.1117,0.84493,0.000740608,0.000740608,0.000740608
10,239.522,0.97602,0.65422,0.85773,0.97822,0.91622,0.93498,0.71746,0.99225,1.06786,0.85787,0.000805364,0.000805364,0.000805364
11,263.834,0.95521,0.63682,0.86903,0.98282,0.90985,0.93426,0.73907,0.93864,1.07069,0.84567,0.00086616,0.00086616,0.00086616
12,287.515,0.94327,0.6236,0.86104,0.98631,0.91668,0.93833,0.73883,0.91138,1.00587,0.84023,0.000922996,0.000922996,0.000922996
13,310.831,0.93306,0.61072,0.8631,0.9845,0.92047,0.9386,0.69601,1.02397,0.94284,0.87202,0.000975872,0.000975872,0.000975872
14,334.58,0.96108,0.60865,0.87329,0.9851,0.92577,0.94231,0.74362,0.91395,0.83423,0.84296,0.00102479,0.00102479,0.00102479
15,358.317,0.89968,0.60196,0.86014,0.98095,0.92829,0.94481,0.7466,0.90814,0.6533,0.84469,0.00106974,0.00106974,0.00106974
16,381.654,0.90206,0.60321,0.87113,0.98096,0.92887,0.94368,0.73512,0.9671,0.62384,0.86112,0.00111074,0.00111074,0.00111074
17,405.281,0.86906,0.5673,0.84796,0.97531,0.92789,0.94311,0.75866,0.87373,0.60828,0.83609,0.00114778,0.00114778,0.00114778
18,428.224,0.84129,0.5405,0.84787,0.97263,0.93001,0.94711,0.75232,0.89078,0.63198,0.83556,0.00118085,0.00118085,0.00118085
19,452.789,0.86641,0.55703,0.85623,0.97224,0.9285,0.94357,0.75176,0.8645,0.63427,0.83232,0.00120997,0.00120997,0.00120997
