epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,87.523,1.48366,3.27386,1.03665,0.07689,0.98928,0.20446,0.14033,1.12884,3.18443,0.85622,0.00016,0.00016,0.00016
2,132.804,1.14275,1.59048,0.89009,0.07711,0.99214,0.97502,0.63504,0.98576,2.53661,0.8347,0.000336634,0.000336634,0.000336634
3,173.783,1.05363,0.80949,0.87103,0.98843,0.30531,0.87035,0.62099,0.98988,2.2687,0.84807,0.000509704,0.000509704,0.000509704
4,215.105,1.01848,0.71522,0.87651,0.99526,0.5998,0.87099,0.69492,0.86774,1.95919,0.83995,0.00067921,0.00067921,0.00067921
5,256.921,0.98029,0.67023,0.86534,0.98784,0.87108,0.94188,0.76983,0.75344,1.14454,0.81808,0.000845152,0.000845152,0.000845152
6,298.072,0.93098,0.63365,0.86252,0.98347,0.89321,0.96227,0.73842,0.87056,1.1205,0.8315,0.00100753,0.00100753,0.00100753
7,339.273,0.93082,0.6251,0.86927,0.9814,0.9805,0.98517,0.79855,0.7273,0.69974,0.80211,0.00116634,0.00116634,0.00116634
8,381.321,0.94616,0.61964,0.86672,0.98401,0.98785,0.9926,0.82717,0.66581,0.58062,0.79271,0.00132159,0.00132159,0.00132159
9,423.212,0.87515,0.57402,0.85578,0.98287,0.98441,0.993,0.8215,0.71054,0.66966,0.80144,0.00147328,0.00147328,0.00147328
10,464.152,0.89684,0.56859,0.85666,0.98767,0.98499,0.99344,0.77803,0.81236,0.68073,0.81781,0.0016214,0.0016214,0.0016214
11,505.823,0.92242,0.58501,0.86291,0.9875,0.98713,0.99309,0.78306,0.80881,0.65292,0.80972,0.00176596,0.00176596,0.00176596
12,546.859,0.96766,0.60956,0.8699,0.98876,0.98642,0.99427,0.77994,0.8353,0.61834,0.81571,0.0017822,0.0017822,0.0017822
13,588.077,0.89703,0.57319,0.86758,0.99211,0.98814,0.9908,0.80778,0.73826,0.58892,0.80849,0.0017624,0.0017624,0.0017624
14,629.071,0.9239,0.56085,0.85317,0.96344,0.97955,0.98416,0.77985,0.74859,0.59917,0.80611,0.0017426,0.0017426,0.0017426
15,669.77,0.89199,0.56545,0.85097,0.98368,0.9857,0.98891,0.80205,0.7141,0.54931,0.79913,0.0017228,0.0017228,0.0017228
16,711.08,0.83604,0.53234,0.85727,0.99212,0.98642,0.9921,0.83105,0.63561,0.49466,0.7914,0.001703,0.001703,0.001703
17,753.078,0.82752,0.52334,0.83987,0.99175,0.98713,0.99238,0.82311,0.66944,0.46767,0.79229,0.0016832,0.0016832,0.0016832
18,795.208,0.82004,0.51078,0.84192,0.99262,0.98856,0.99099,0.85198,0.59267,0.43452,0.78273,0.0016634,0.0016634,0.0016634
19,836.376,0.81817,0.50629,0.85267,0.99274,0.98856,0.9903,0.84051,0.62757,0.43137,0.78774,0.0016436,0.0016436,0.0016436
20,878.184,0.79345,0.49031,0.84465,0.9925,0.98642,0.98949,0.84717,0.61611,0.47367,0.78191,0.0016238,0.0016238,0.0016238
21,919.621,0.79115,0.5118,0.839,0.99261,0.98713,0.99129,0.83928,0.62929,0.46207,0.78785,0.001604,0.001604,0.001604
22,960.864,0.76886,0.4824,0.83864,0.99249,0.98856,0.98902,0.84912,0.59426,0.44131,0.78624,0.0015842,0.0015842,0.0015842
23,1002.09,0.75497,0.48438,0.84598,0.99254,0.98713,0.99184,0.84458,0.60166,0.41684,0.78468,0.0015644,0.0015644,0.0015644
24,1043.51,0.75939,0.46798,0.84085,0.99292,0.98785,0.99332,0.82466,0.69776,0.42293,0.7955,0.0015446,0.0015446,0.0015446
25,1084.43,0.8054,0.48328,0.83791,0.99282,0.98845,0.99312,0.86369,0.5736,0.3967,0.7775,0.0015248,0.0015248,0.0015248
26,1125.56,0.74518,0.451,0.83507,0.99211,0.98837,0.9943,0.84383,0.61207,0.41399,0.78402,0.001505,0.001505,0.001505
27,1166.03,0.74643,0.45972,0.83569,0.9897,0.98427,0.99039,0.83968,0.61841,0.4371,0.78528,0.0014852,0.0014852,0.0014852
28,1208.58,0.74579,0.44916,0.82644,0.99086,0.98213,0.992,0.84488,0.60793,0.43437,0.78475,0.0014654,0.0014654,0.0014654
29,1251.25,0.76734,0.46339,0.83958,0.99064,0.98377,0.99417,0.8482,0.57463,0.39127,0.77711,0.0014456,0.0014456,0.0014456
30,1294,0.73056,0.44339,0.83192,0.99372,0.98713,0.99103,0.85269,0.58979,0.38776,0.77907,0.0014258,0.0014258,0.0014258
31,1337.74,0.722,0.44126,0.83278,0.99425,0.98834,0.99122,0.86378,0.55312,0.35841,0.77399,0.001406,0.001406,0.001406
32,1380.77,0.70729,0.43,0.82713,0.99495,0.98529,0.99379,0.84712,0.60362,0.37336,0.78225,0.0013862,0.0013862,0.0013862
33,1426.78,0.70163,0.42381,0.82822,0.99382,0.98785,0.99233,0.86131,0.56172,0.35709,0.77803,0.0013664,0.0013664,0.0013664
34,1467.91,0.73402,0.43507,0.82628,0.99408,0.98856,0.99485,0.86973,0.55099,0.36096,0.77466,0.0013466,0.0013466,0.0013466
35,1510.83,0.71836,0.42651,0.83366,0.99334,0.98785,0.99368,0.85812,0.56714,0.34504,0.77531,0.0013268,0.0013268,0.0013268
36,1554.12,0.6967,0.41857,0.82019,0.99655,0.98499,0.98569,0.86452,0.54607,0.34564,0.7718,0.001307,0.001307,0.001307
37,1596.82,0.70495,0.42465,0.82011,0.99551,0.98856,0.99473,0.8544,0.58578,0.36201,0.77684,0.0012872,0.0012872,0.0012872
38,1639.96,0.70366,0.42851,0.82705,1,0.98477,0.99124,0.86211,0.55266,0.36785,0.7744,0.0012674,0.0012674,0.0012674
39,1682.84,0.7116,0.43316,0.82944,0.9948,0.98928,0.993,0.86193,0.55188,0.37987,0.77413,0.0012476,0.0012476,0.0012476
40,1724.4,0.64844,0.41074,0.81705,0.99496,0.98829,0.9943,0.86051,0.54105,0.36896,0.77376,0.0012278,0.0012278,0.0012278
41,1765.95,0.69947,0.42498,0.82565,0.99424,0.98638,0.98874,0.85234,0.57905,0.3657,0.7792,0.001208,0.001208,0.001208
42,1809.32,0.67264,0.40564,0.82146,0.9949,0.98785,0.99427,0.85797,0.5733,0.35246,0.77707,0.0011882,0.0011882,0.0011882
43,1850.81,0.67977,0.41047,0.82695,0.99491,0.98928,0.99367,0.86525,0.54414,0.34612,0.7739,0.0011684,0.0011684,0.0011684
44,1892.27,0.6745,0.40244,0.82513,0.99479,0.98856,0.99159,0.86915,0.5322,0.34676,0.77063,0.0011486,0.0011486,0.0011486
45,1934.68,0.67171,0.41099,0.81875,0.99485,0.98856,0.98814,0.87379,0.50254,0.33088,0.76767,0.0011288,0.0011288,0.0011288
46,1976.96,0.64614,0.39213,0.81336,0.99632,0.9857,0.99384,0.85243,0.57373,0.3352,0.77554,0.001109,0.001109,0.001109
47,2018.35,0.64929,0.39097,0.81306,0.99483,0.98856,0.99457,0.87744,0.50821,0.31168,0.76738,0.0010892,0.0010892,0.0010892
48,2061.3,0.64722,0.38638,0.81793,0.99907,0.98642,0.99473,0.8539,0.58958,0.32034,0.77631,0.0010694,0.0010694,0.0010694
49,2103.75,0.62225,0.38024,0.81363,0.99928,0.98629,0.99467,0.87742,0.51775,0.30383,0.76898,0.0010496,0.0010496,0.0010496
50,2145.38,0.6309,0.37311,0.81975,0.99999,0.98642,0.99351,0.86836,0.53173,0.3087,0.77085,0.0010298,0.0010298,0.0010298
51,2187.41,0.63408,0.37825,0.81489,0.99926,0.98642,0.99481,0.87405,0.51428,0.30069,0.76802,0.00101,0.00101,0.00101
52,2228.69,0.62604,0.37124,0.81829,0.99698,0.98856,0.99485,0.87328,0.51966,0.31893,0.76975,0.0009902,0.0009902,0.0009902
53,2271.58,0.64382,0.3787,0.8163,0.99925,0.98642,0.99482,0.88188,0.48397,0.30921,0.76724,0.0009704,0.0009704,0.0009704
54,2316.22,0.62827,0.3757,0.81015,0.99696,0.98856,0.99462,0.86829,0.53007,0.30541,0.77229,0.0009506,0.0009506,0.0009506
55,2361.32,0.6288,0.37993,0.81331,0.99697,0.98856,0.99489,0.89028,0.47287,0.29188,0.76636,0.0009308,0.0009308,0.0009308
56,2402.77,0.60812,0.35783,0.81344,0.99685,0.98856,0.99478,0.88852,0.49114,0.28937,0.76553,0.000911,0.000911,0.000911
57,2444.58,0.5979,0.35865,0.81731,0.99968,0.98642,0.99475,0.8914,0.47552,0.29221,0.76367,0.0008912,0.0008912,0.0008912
58,2485.79,0.59186,0.35289,0.81062,0.99953,0.98642,0.99453,0.88274,0.50177,0.28575,0.76477,0.0008714,0.0008714,0.0008714
59,2527.04,0.57742,0.36095,0.8127,1,0.98642,0.99415,0.89074,0.47183,0.28499,0.76276,0.0008516,0.0008516,0.0008516
60,2568.9,0.58362,0.34974,0.81613,0.99928,0.98625,0.99453,0.89337,0.46674,0.2833,0.76303,0.0008318,0.0008318,0.0008318
61,2614.19,0.57546,0.34813,0.81102,0.99493,0.98856,0.99445,0.88065,0.51229,0.29449,0.76791,0.000812,0.000812,0.000812
62,2657.78,0.59422,0.35444,0.81059,0.99632,0.98856,0.99437,0.89179,0.46408,0.28515,0.76246,0.0007922,0.0007922,0.0007922
63,2700.66,0.5951,0.35944,0.8113,0.9995,0.98642,0.99447,0.88556,0.48628,0.28473,0.765,0.0007724,0.0007724,0.0007724
64,2742.9,0.58161,0.35096,0.81231,0.99757,0.98642,0.9939,0.89692,0.45915,0.27587,0.75984,0.0007526,0.0007526,0.0007526
65,2785.07,0.58851,0.35395,0.80631,0.99696,0.98856,0.99457,0.89875,0.45777,0.27747,0.76095,0.0007328,0.0007328,0.0007328
66,2829.63,0.58204,0.35559,0.81117,0.99928,0.98743,0.99484,0.89908,0.44751,0.27165,0.75858,0.000713,0.000713,0.000713
67,3055.21,0.54729,0.33578,0.8028,0.99899,0.98642,0.99185,0.89636,0.45805,0.27181,0.75984,0.0006932,0.0006932,0.0006932
68,5632.38,0.55733,0.33677,0.80934,0.99911,0.98642,0.98577,0.90088,0.44705,0.26408,0.75938,0.0006734,0.0006734,0.0006734
69,5678.18,0.55783,0.33825,0.80208,0.99976,0.98642,0.98578,0.89829,0.45264,0.26913,0.75893,0.0006536,0.0006536,0.0006536
70,5724.45,0.57102,0.34392,0.80539,0.99982,0.98642,0.98578,0.90508,0.43209,0.25547,0.75681,0.0006338,0.0006338,0.0006338
71,5769.95,0.54309,0.33056,0.80325,0.99905,0.98642,0.99384,0.90088,0.44655,0.25852,0.75869,0.000614,0.000614,0.000614
72,5815.6,0.56136,0.33436,0.80384,0.99918,0.98642,0.99089,0.89804,0.44164,0.25536,0.75784,0.0005942,0.0005942,0.0005942
73,5860.37,0.54824,0.3285,0.802,0.99906,0.98642,0.99485,0.90088,0.44914,0.25856,0.75776,0.0005744,0.0005744,0.0005744
74,5904.62,0.54287,0.32595,0.80494,0.99911,0.98642,0.99484,0.91007,0.42633,0.25198,0.75602,0.0005546,0.0005546,0.0005546
75,5948.99,0.56351,0.33661,0.80732,0.99488,0.98856,0.99438,0.89553,0.45685,0.26011,0.759,0.0005348,0.0005348,0.0005348
76,5993.26,0.55537,0.33061,0.80873,0.99865,0.98642,0.99318,0.89327,0.45845,0.26011,0.75927,0.000515,0.000515,0.000515
77,6037.48,0.55139,0.32675,0.80409,0.99905,0.98642,0.99046,0.90159,0.43048,0.24986,0.75592,0.0004952,0.0004952,0.0004952
78,6081.36,0.52459,0.32476,0.80136,0.99911,0.9857,0.99463,0.90132,0.43886,0.25178,0.75783,0.0004754,0.0004754,0.0004754
79,6125.93,0.55194,0.32543,0.80179,0.9991,0.98642,0.99422,0.90527,0.41711,0.24727,0.75538,0.0004556,0.0004556,0.0004556
80,6170.85,0.53568,0.321,0.80392,0.99904,0.98642,0.9942,0.9071,0.43224,0.24857,0.75608,0.0004358,0.0004358,0.0004358
81,6216.11,0.51323,0.31436,0.79732,0.99928,0.9864,0.98915,0.91122,0.41495,0.24341,0.75526,0.000416,0.000416,0.000416
82,6261.74,0.52576,0.31742,0.80484,0.99928,0.98607,0.98892,0.91159,0.41908,0.24334,0.75537,0.0003962,0.0003962,0.0003962
83,6306.6,0.53763,0.32276,0.80366,0.99912,0.9857,0.99423,0.91595,0.41269,0.24065,0.75503,0.0003764,0.0003764,0.0003764
84,6351.22,0.50893,0.31215,0.80145,0.99928,0.98758,0.99461,0.91213,0.41326,0.24075,0.7552,0.0003566,0.0003566,0.0003566
85,6395.44,0.52809,0.31759,0.80067,0.99928,0.98843,0.99472,0.91001,0.41132,0.24344,0.7559,0.0003368,0.0003368,0.0003368
86,6440.51,0.52317,0.31855,0.80577,0.99928,0.98835,0.99486,0.91084,0.42461,0.24687,0.75622,0.000317,0.000317,0.000317
87,6485.25,0.52462,0.31565,0.80525,0.99928,0.98764,0.99487,0.91815,0.39764,0.24114,0.75355,0.0002972,0.0002972,0.0002972
88,6529.8,0.52151,0.31502,0.80176,0.99913,0.98642,0.9948,0.91141,0.41386,0.24196,0.75514,0.0002774,0.0002774,0.0002774
89,6574.52,0.52827,0.31405,0.80383,0.99915,0.98642,0.99484,0.91709,0.39898,0.23498,0.75362,0.0002576,0.0002576,0.0002576
90,6619.81,0.50391,0.30739,0.79927,0.99918,0.98642,0.994,0.92061,0.38786,0.23141,0.75313,0.0002378,0.0002378,0.0002378
91,6661.17,0.52006,0.37524,0.79986,0.99917,0.98642,0.99253,0.91955,0.39265,0.23537,0.75336,0.000218,0.000218,0.000218
92,6701.91,0.48807,0.32159,0.79775,0.99907,0.98642,0.98722,0.9136,0.40049,0.28154,0.75263,0.0001982,0.0001982,0.0001982
93,6742.38,0.48059,0.33127,0.79254,0.99918,0.98642,0.99314,0.91083,0.41139,0.26336,0.753,0.0001784,0.0001784,0.0001784
94,6782.83,0.48536,0.31064,0.79869,0.99928,0.98798,0.98677,0.90979,0.41721,0.24998,0.75448,0.0001586,0.0001586,0.0001586
